Date,Close,Open,High,Low,Volume
2018/4/14,192.02,189.413,198.291,188.67,36.56K
2018/4/15,201.73,192.106,206.123,192.101,53.54K
2018/4/16,195.74,201.727,204.251,190.106,44.31K
2018/4/17,196.87,195.741,204.042,195.145,40.89K
2018/4/18,229.43,196.879,233.813,196.533,132.60K
2018/4/19,238.49,229.472,239.11,226.237,76.01K
2018/4/20,273.02,238.488,273.023,238.488,87.57K
2018/4/21,257.08,272.898,273.027,238.876,59.31K
2018/4/22,270.39,257.029,284.701,249.813,64.07K
2018/4/23,284.01,270.389,287.695,269.784,52.25K
2018/4/24,293.23,284.044,298.537,280.355,71.83K
2018/4/25,256.8,292.437,292.502,247.182,115.51K
2018/4/26,267.82,256.863,276.352,249.142,68.66K
2018/4/27,250.87,267.435,267.998,250.491,53.99K
2018/4/28,261.26,250.867,264.969,250.234,51.02K
2018/4/29,256.01,261.259,263.894,242.441,59.60K
2018/4/30,241.47,255.996,259.214,237.923,66.47K
2018/5/1,239.49,241.47,241.95,228.554,48.97K
2018/5/2,249.81,239.485,253.131,238.174,55.50K
2018/5/3,246.1,249.732,258.064,242.218,91.78K
2018/5/4,242.01,246.106,249.29,237.898,59.56K
2018/5/5,241.51,242.002,247.378,239.705,51.82K
2018/5/6,235.49,241.38,243.085,231.846,43.37K
2018/5/7,235.03,235.482,236.093,221.466,51.76K
2018/5/8,223.01,232.621,233.318,220.108,38.10K
2018/5/9,226.89,223.143,231.611,216.047,46.06K
2018/5/10,217.12,226.938,233.504,216.682,44.42K
2018/5/11,196.88,217.118,217.118,196.413,80.31K
2018/5/12,201.86,197.145,205.557,190.931,53.66K
2018/5/13,207.84,201.916,212.727,201.916,42.35K
2018/5/14,212.82,207.835,217.576,196.372,62.87K
2018/5/15,202.95,212.785,217.793,201.148,54.46K
2018/5/16,198.93,202.948,203.38,192.431,39.90K
2018/5/17,191.01,198.835,203.305,190.98,34.93K
2018/5/18,203.64,190.819,212.878,186.443,70.21K
2018/5/19,197.34,203.648,203.861,196.491,24.85K
2018/5/20,203.7,197.33,205.514,196.258,30.76K
2018/5/21,198.31,203.703,204.399,195.049,24.49K
2018/5/22,175.34,198.336,198.713,175.338,59.68K
2018/5/23,171.01,175.304,179.536,166.11,62.68K
2018/5/24,171.42,171.093,177.443,161.007,60.66K
2018/5/25,164.96,171.813,173.822,162.514,31.86K
2018/5/26,165.03,165.021,169.08,163.151,26.88K
2018/5/27,166.45,165.144,170.83,161.379,32.55K
2018/5/28,149.43,166.537,168.49,149.368,53.73K
2018/5/29,157.28,149.412,167.046,147.357,94.49K
2018/5/30,155.33,157.29,161.137,152.837,28.28K
2018/5/31,155.79,155.447,159.098,154.63,37.45K
2018/6/1,157.64,155.709,158.549,153.285,27.46K
2018/6/2,162.51,157.643,167.675,156.429,45.76K
2018/6/3,168.91,162.409,177.511,162.311,50.13K
2018/6/4,160.25,168.903,170.33,157.653,45.67K
2018/6/5,167.13,160.257,169.15,157.444,48.80K
2018/6/6,164.42,166.969,167.996,150.656,47.13K
2018/6/7,164.1,164.418,171.746,163.101,52.28K
2018/6/8,158.36,164.1,165.31,156.999,47.14K
2018/6/9,154.54,158.351,159.981,154.452,35.77K
2018/6/10,139.54,154.57,154.705,132.094,99.72K
2018/6/11,137.95,139.721,140.242,132.251,44.99K
2018/6/12,125.54,137.999,138.519,120.649,78.23K
2018/6/13,121.88,125.571,126.716,113.064,121.01K
2018/6/14,132.63,121.875,133.737,118.542,103.67K
2018/6/15,122.17,132.627,133.329,122.032,61.27K
2018/6/16,126.52,122.167,128.227,121.045,59.84K
2018/6/17,123.83,126.5,126.969,123.296,41.53K
2018/6/18,127.38,123.847,129.88,119.711,58.92K
2018/6/19,126.4,127.415,130.964,124.544,53.46K
2018/6/20,122.82,126.442,126.442,119.975,41.38K
2018/6/21,124.01,122.847,124.393,121.68,40.44K
2018/6/22,110.86,123.921,124.227,107.755,99.47K
2018/6/23,115.68,110.86,119.95,110.555,62.91K
2018/6/24,121.9,115.764,125.667,108.573,84.58K
2018/6/25,127.27,121.902,130.147,121.104,66.47K
2018/6/26,121.13,127.352,130.859,120.854,63.09K
2018/6/27,129.04,121.103,131.19,120.043,66.44K
2018/6/28,117.17,129.166,135.03,114.818,95.84K
2018/6/29,127.4,117.155,128.562,115.821,71.41K
2018/6/30,131.44,127.451,135.775,127.378,94.42K
2018/7/1,130.92,131.508,131.508,126.135,57.86K
2018/7/2,141.09,130.969,143.818,128.962,88.98K
2018/7/3,139.05,141.086,144.568,139.048,67.34K
2018/7/4,139.49,139.053,146.376,135.311,54.92K
2018/7/5,139.21,139.499,142.278,134.737,67.69K
2018/7/6,134.97,139.213,139.529,131.652,56.70K
2018/7/7,135.51,134.975,136.02,131.521,40.86K
2018/7/8,138.65,135.505,140.085,134.581,43.49K
2018/7/9,136.66,138.626,142.596,136.249,54.36K
2018/7/10,122.04,136.662,138.258,121.727,71.81K
2018/7/11,126.09,122.035,130.588,122.017,74.94K
2018/7/12,120.66,126.167,126.859,117.533,54.57K
2018/7/13,122.06,120.861,125.09,119.539,53.38K
2018/7/14,122.96,122.03,124.206,120.96,32.79K
2018/7/15,123.94,122.955,125.986,121.244,41.69K
2018/7/16,135.42,123.937,135.671,122.917,68.05K
2018/7/17,143.65,135.422,148.262,134.823,74.90K
2018/7/18,139.7,143.647,149.522,137.869,51.44K
2018/7/19,139.74,139.704,143.729,138.176,36.00K
2018/7/20,130.08,139.759,139.759,128.685,66.81K
2018/7/21,132.36,130.078,132.938,127.384,32.11K
2018/7/22,128.44,132.359,133.787,128.185,40.24K
2018/7/23,133.4,128.408,142.889,128.141,75.58K
2018/7/24,147.87,133.4,148.646,133.06,73.85K
2018/7/25,143.11,147.851,149.087,138.431,53.19K
2018/7/26,136.68,143.109,144.959,135.86,42.70K
2018/7/27,140.23,136.841,142.427,135.005,31.06K
2018/7/28,139.71,140.206,141.683,138.331,33.10K
2018/7/29,135.8,139.708,141.498,134.79,35.48K
2018/7/30,131.92,135.802,136.435,128.88,44.97K
2018/7/31,122.22,131.902,134.359,121.243,51.88K
2018/8/1,128.24,122.223,130.233,119.632,50.67K
2018/8/2,122.36,128.237,130.639,120.692,39.68K
2018/8/3,120.11,122.378,122.498,114.988,48.49K
2018/8/4,114.1,120.109,121.349,113.439,34.92K
2018/8/5,117.34,114.085,117.749,111.736,32.82K
