Date,Open,High,Low,Close,Volume
2015/6/19,248.4,250.8,243.6,244.1,84.70K
2015/6/20,244.1,246.6,238.7,245,51.28K
2015/6/21,245,246,240.9,244.1,25.15K
2015/6/22,244.1,248.6,243.2,247.5,47.59K
2015/6/23,247.5,247.7,242.3,243.8,38.43K
2015/6/24,243.8,244.5,239.1,240.6,47.11K
2015/6/25,240.6,243.6,239.3,242.6,40.36K
2015/6/26,242.6,243.5,240.1,242.9,37.62K
2015/6/27,242.9,251.6,241.8,250.7,54.70K
2015/6/28,250.7,251.6,246.6,248.9,39.89K
2015/6/29,248.9,257.5,248,257,92.64K
2015/6/30,257,268.7,255.4,264.1,116.53K
2015/7/1,264.1,265,254.4,257.6,66.94K
2015/7/2,257.6,261.3,253.1,254.9,45.01K
2015/7/3,254.9,256.7,252.4,255.4,36.58K
2015/7/4,255.4,261.1,253.4,260.5,32.95K
2015/7/5,260.5,274.1,257.6,270.1,48.45K
2015/7/6,270.1,277.5,266.5,269.1,90.58K
2015/7/7,269.1,271.3,263.2,266.2,41.61K
2015/7/8,266.2,273.6,263.2,268.6,45.29K
2015/7/9,268.6,272.3,265.1,269.1,48.39K
2015/7/10,269.1,297.9,266.9,283.6,117.17K
2015/7/11,283.6,298.8,282.3,292,46.49K
2015/7/12,292,315.9,291.3,310.4,120.70K
2015/7/13,310.4,310.9,276.9,290.4,146.85K
2015/7/14,290.4,297,285.2,287,60.62K
2015/7/15,287,292.9,283.2,283.4,59.58K
2015/7/16,283.4,290.8,273.3,276.6,121.32K
2015/7/17,276.6,280.8,271.2,279.6,62.12K
2015/7/18,279.6,282.5,243.2,274,55.34K
2015/7/19,274,277.1,271.9,273.2,30.20K
2015/7/20,273.2,278.9,271.8,277.7,46.60K
2015/7/21,277.7,281,274.2,275.1,49.05K
2015/7/22,275.1,277.4,273.1,276.5,41.97K
2015/7/23,276.5,277.9,274.5,275.5,35.66K
2015/7/24,275.5,289.8,274.3,288.4,74.36K
2015/7/25,288.4,291.2,284.7,288.7,41.65K
2015/7/26,288.7,293.3,286.8,291.8,30.99K
2015/7/27,291.8,295.8,285.4,293,69.71K
2015/7/28,293,296.7,291.7,293.7,49.07K
2015/7/29,293.7,294.7,286.9,288.4,50.67K
2015/7/30,288.4,289.9,284.9,287,44.79K
2015/7/31,287,288.7,280.8,283.7,49.21K
2015/8/1,283.7,284.5,276.3,280.5,39.43K
2015/8/2,280.5,282.5,275.9,281.4,35.67K
2015/8/3,281.4,285,278.9,281.6,45.89K
2015/8/4,281.6,285.7,279.6,284.3,44.84K
2015/8/5,284.3,285.5,280.5,281.7,38.29K
2015/8/6,281.7,282,276.5,278,33.26K
2015/8/7,278,279.6,274.3,277.9,42.81K
2015/8/8,277.9,278.9,257.4,258.6,82.54K
2015/8/9,258.6,266.8,258.6,263.9,57.48K
2015/8/10,263.9,266.6,260.5,263.3,48.57K
2015/8/11,263.3,269.9,261.4,269,51.36K
2015/8/12,269,271.5,263.7,267.7,56.73K
2015/8/13,267.7,268.4,261.3,263.4,56.49K
2015/8/14,263.4,267.2,260.2,265,52.33K
2015/8/15,265,266.5,259.4,260.5,38.91K
2015/8/16,260.5,261.9,254.6,257.1,69.04K
2015/8/17,257.1,259.9,252.9,257.1,47.88K
2015/8/18,257.1,257.5,245.7,246.7,94.50K
2015/8/19,246.7,247.9,214.3,226,245.82K
2015/8/20,226,238,225.5,234.7,90.98K
2015/8/21,234.7,236.3,230.5,232.4,57.65K
2015/8/22,232.4,235.1,221,229.5,74.21K
2015/8/23,229.5,232.7,224.3,226.8,48.84K
2015/8/24,226.8,228.4,207.8,211.4,196.70K
2015/8/25,211.4,226.6,196.3,220.5,190.79K
2015/8/26,220.5,230.7,218.8,225,92.81K
2015/8/27,225,228.4,222,222.7,60.25K
2015/8/28,222.7,234.8,219.6,231.6,90.66K
2015/8/29,231.6,233.1,226.4,228.5,43.74K
2015/8/30,228.5,232.3,225.4,228.4,39.81K
2015/8/31,228.4,231.8,224.2,229.5,54.51K
