Date,Close,Open,High,Low,Volume
2019/4/5,132.6,123.42,132.61,123.42,431.34K
2019/4/6,130.78,132.61,136.47,129.27,422.94K
2019/4/7,135.1,130.78,135.13,130.35,692.14K
2019/4/8,135.19,135.1,138.03,129.34,554.19K
2019/4/9,131.24,135.19,135.36,129.52,362.20K
2019/4/10,129.61,131.24,133.07,127.53,341.31K
2019/4/11,122.38,129.61,129.67,114.48,432.55K
2019/4/12,118.83,122.38,122.59,115.59,476.72K
2019/4/13,119.26,118.83,119.9,117.51,385.29K
2019/4/14,122.5,119.26,122.94,118.21,390.30K
2019/4/15,118.76,122.5,123.73,115.32,628.81K
2019/4/16,120.82,118.76,121.18,116.22,867.19K
2019/4/17,120.27,120.82,122.47,118.98,563.93K
2019/4/18,123.59,120.27,125.12,120.2,623.23K
2019/4/19,121.86,123.59,123.68,120.77,568.50K
2019/4/20,123.22,121.86,124.08,121.49,613.56K
2019/4/21,120.93,123.22,123.56,117.55,644.67K
2019/4/22,121.95,120.93,122.51,119.24,614.88K
2019/4/23,117.44,121.95,124.95,117.44,623.68K
2019/4/24,114.95,117.44,120.04,111.38,727.29K
2019/4/25,109.01,114.95,117.95,108.72,696.88K
2019/4/26,110.34,109.01,113.98,106.89,642.83K
2019/4/27,110.17,110.34,111.27,108.99,569.52K
2019/4/28,110.72,110.17,111.45,109.39,630.54K
2019/4/29,107.73,110.72,111.47,106.87,660.44K
2019/4/30,110.88,107.73,111.54,106.96,634.70K
2019/5/1,116.75,110.88,118.98,110.88,629.57K
2019/5/2,116.93,116.75,118.84,115.03,613.30K
2019/5/3,120.93,116.93,121.52,115.86,674.89K
2019/5/4,120.33,120.93,123.8,117.19,699.10K
2019/5/5,118.81,120.33,120.76,117.89,616.37K
2019/5/6,119.55,118.81,121.26,116.52,679.57K
2019/5/7,116.31,119.56,122.12,116.24,650.81K
2019/5/8,117.24,116.29,117.45,114.81,619.12K
2019/5/9,112.57,117.24,117.66,110.32,625.96K
2019/5/10,112.75,112.57,115.61,111.38,598.95K
2019/5/11,123.68,112.75,125.86,112.27,790.71K
2019/5/12,124.55,123.75,128.63,118.39,704.77K
2019/5/13,132.27,124.54,135.77,124.35,492.92K
2019/5/14,141.41,132.28,142.63,132.04,502.22K
2019/5/15,147.53,141.43,153.35,141.3,774.88K
2019/5/16,148.68,147.51,161.36,143.94,832.04K
2019/5/17,137.43,148.68,150.05,128.87,527.79K
2019/5/18,140.77,137.41,144.11,134.36,515.49K
2019/5/19,172.9,140.76,176.35,137.35,543.17K
2019/5/20,166.89,172.87,175.78,158.41,642.65K
2019/5/21,165.73,166.9,168.59,159.73,540.20K
2019/5/22,154.26,165.73,166.81,152.16,555.10K
2019/5/23,153.88,154.25,155.91,146,535.82K
2019/5/24,155.83,153.88,162,153.41,638.92K
2019/5/25,155.65,155.82,159.85,153.36,527.69K
2019/5/26,161.47,155.65,162.73,152.05,568.81K
2019/5/27,166.32,161.47,169.33,160.37,501.08K
2019/5/28,169.24,166.3,172.92,158.43,512.32K
2019/5/29,168.05,169.22,173.48,160.96,694.62K
2019/5/30,162.85,168.04,175.44,157.38,605.57K
2019/5/31,165.68,162.81,166.15,157.27,459.43K
2019/6/1,162.96,165.7,167.04,161.49,575.94K
2019/6/2,165.15,162.97,167.6,156.81,669.26K
2019/6/3,156.88,165.15,165.24,155.83,670.26K
2019/6/4,143.68,156.86,156.87,141.12,746.41K
2019/6/5,146.91,143.68,148.48,142.43,604.60K
2019/6/6,143.53,146.91,148.6,139.06,613.90K
2019/6/7,149.12,143.53,151.93,141.81,627.08K
2019/6/8,145.02,149.12,149.8,142.73,601.71K
2019/6/9,142.18,145.02,146.26,139.38,475.51K
2019/6/10,150.77,142.17,151.2,140.62,630.32K
2019/6/11,147.13,150.59,150.77,143.46,619.43K
2019/6/12,155.62,147.14,157.04,146.43,680.09K
2019/6/13,152.99,155.63,159.03,152.88,580.03K
2019/6/14,153.5,152.99,155.32,149.57,534.08K
2019/6/15,154.36,153.49,155.6,152.49,516.67K
2019/6/16,156.08,154.36,160.49,154.15,630.72K
2019/6/17,158.4,156.08,160.01,155.64,549.27K
2019/6/18,158.31,158.39,165.79,154.84,628.72K
2019/6/19,161.61,158.31,162.03,157.8,499.24K
2019/6/20,161.66,161.61,162.58,158.06,495.06K
2019/6/21,166.9,161.66,167.35,161.65,547.65K
2019/6/22,176.39,166.88,180.16,165.62,738.50K
2019/6/23,174.28,176.39,180.85,171.43,657.21K
2019/6/24,175.9,174.28,178.89,171.69,581.37K
2019/6/25,178.17,175.88,180.36,175.02,554.28K
2019/6/26,175.42,178.24,188.21,169.26,886.70K
